,id,createdtime,username,tweets
62,1.41E+18,16-06-2021 14:11,youlijuwairen,this is very good project  am very optimistic  come on   goog
63,1.41E+18,16-06-2021 13:25,HEKAN1515,this is one revolutionary project have seen so far    can already see big and gigantic potentials in it  goog
64,1.41E+18,16-06-2021 13:13,wu38222904,very optimistic about your activities  hope you can succeed  let  go to the moon together  org  goog
65,1.41E+18,16-06-2021 13:10,qA6F05MXqs1Yv2Q,this is great project  because it will be very profitable  and this project might compete with others  maybe it could be superior to the others could be very useful  good luck app  goog
66,1.41E+18,16-06-2021 11:39,CyberSecurityN8,visit  to learn how to secure security conscious culture in your business
67,1.41E+18,16-06-2021 11:37,dwwnigeria,visit  to learn how to secure security conscious culture in your business  visit  to learn how to secure security conscious culture in your business
68,1.41E+18,16-06-2021 11:28,dailytradingapp,china   uber for trucks  startup proposes to raise about    in us ipo  wsj
69,1.41E+18,16-06-2021 11:05,N27iiCh3n,the concept of this is project is excellent   goog is on many exchanges and in time it will break all the levels to be in galaxy     goog
70,1.41E+18,16-06-2021 11:02,lwlw16553602,very good innovative project with great potential  you guys are great   goog
71,1.41E+18,16-06-2021 10:26,xlxww1,echo very good project  very honored to be able to participate  yo optimistic about it  come on   goog
72,1.41E+18,16-06-2021 09:36,lxlw8,very good project  you guys are great  we can walk together in the future   goog
73,1.41E+18,16-06-2021 09:35,8h40MXgUEWUgWap,great project  hope to be part of this project  will share about this project with other friends and also my telegram group and whatsapp group  goog
74,1.41E+18,16-06-2021 08:53,pantbibek70,it is good project   have participated in the and rules of this airdrop  like this project    goog
75,1.41E+18,16-06-2021 07:53,zzq742524,come on good project   goog
76,1.41E+18,16-06-2021 07:49,Noxus520,the project is implemented very professionally and has clear development plan without doubt  this is one of the best projects out there  solana  goog
77,1.41E+18,16-06-2021 06:29,Fengyao19920221,it  great project  it  bound to be hit   goog
78,1.41E+18,16-06-2021 05:47,sl43793390,great project  hope to be part of this project  will share about this project with other friends and also my telegram group and whatsapp group  nun  goog
79,1.41E+18,16-06-2021 05:46,mjhjnsbhssb,good project with great team
80,1.41E+18,16-06-2021 05:44,zhouyanqing1,great project what do mean  you should know  goog
81,1.41E+18,16-06-2021 05:16,lxiwlb,this is one of the very good blockchain cryptocurrencies  you guys are great  and am glad can participate  thank   goog
82,1.41E+18,16-06-2021 05:16,biu60f,this is very good project with great potential and innovation  hope you can keep it going and it will be successful   goog
83,1.41E+18,16-06-2021 04:43,longrun52001,verry good projectdon  miss airdrop firefirefire  goog
