,id,createdtime,username,tweets
126,1.41E+18,19-06-2021 17:12,Hassan896946803,here we go
127,1.41E+18,19-06-2021 17:12,SyedaAnaAli1,one of the most super fastest bowler of the world the living legend
128,1.41E+18,19-06-2021 17:12,la3la5,big news coming soon
129,1.41E+18,19-06-2021 17:11,ZaidKha32198849,welcome to crypto world salute you sir stay connected and support crypto pakistan
130,1.41E+18,19-06-2021 17:09,sshaider5,as shoaib akhter  pindi express surprised the whole cricket world with his bowling and unique action  now his nft surprise the crypto worldcongratulations to team tenupnation and waqar zaka gave this oppertunity to pakistani and his community
131,1.41E+18,19-06-2021 08:49,Mariajo_1986,aave and  bump by to protect my assets  july is the target month to release   which will be provide the opportunity for lp  to provide liquidity to the protocol  got picked up by    sol  matic  doge
132,1.41E+18,19-06-2021 08:32,Crypt0K1nggg,seems like people working are really bunch of people that have no clue what is going on with and all holding bags catching up  ghost chain we ve been silent seems like should hire new people who actually have knowledge of what they talking about
133,1.41E+18,19-06-2021 08:03,NFTcabinet,what if the sun is resting  what if the place floods  how much does tomatoe food cost  not only do you need expensive land and labor  you need highly sophisticated set of skills from horticulture to marketing  ignoring those complexities have often been devastating
134,1.41E+18,19-06-2021 00:47,CryptoFaucets4,an increasing number of colombians are using crypto  and that has regulators stepping in with rules  the government is
135,1.41E+18,19-06-2021 00:46,ConsiliumCrypto,an increasing number of colombians are using crypto  and that has regulators stepping in with rules  the government is implementing new anti money laundering laws
136,1.41E+18,18-06-2021 17:22,JERUNGTODAK2,ann  global to the moon
137,1.41E+18,18-06-2021 16:57,AzatisS,when you call an inside dump  panic  and coding errors and flawed mechanics  not rugpull exploit hack  you got iron finance
138,1.41E+18,18-06-2021 13:34,BtczMarket,join   and help
139,1.41E+18,18-06-2021 11:06,CTrade_official,adoption is spreading everywhere  and for the better
140,1.41E+18,18-06-2021 09:13,StephaneCadario,if you launch big series on and exploded in and   don  miss out on looking like the currency that has community that is naturally growing at great speed home for all losers binance
141,1.41E+18,18-06-2021 08:24,MRizkiHidayah2,trust this project  they have great potential and will be very successful in the future wajah tersenyum dengan mata tersenyumjempolanroket  arjun  shak
142,1.41E+18,18-06-2021 06:06,Gambiste1,vengeance  have participated in following the guidelines and rules of
143,1.41E+18,18-06-2021 05:28,Rdani_Vengeance,have participated in following the guidelines and rules of this airdrop  hope that many people will be lucky to get prize from this airdrop shak
144,1.41E+18,18-06-2021 01:57,RamonMichael17,you still have not unlocked my account  it  been week  why is no one writing about this behavior from major crypto exchange
145,1.41E+18,17-06-2021 21:36,ConsiliumCrypto,gemini  the exchange and custodian founded by the winklevoss brothers  has partnered with mastercard to launch crypto rewards credit card this summer
146,1.41E+18,17-06-2021 17:20,Hasan11645,this is definitely going to be huge  as the team has been an inspiration in their innovative approaches towards achieving the project goals and visions   am so glad to be part of this   shak
147,1.41E+18,17-06-2021 15:59,RamonMichael17,why is binanceus allowed to lock user accounts and all the money tied to them for weeks and for no good reason  they are liars and some government oversight should be looking into
148,1.41E+18,17-06-2021 15:24,TRADE_WITH_US_1,it  unreasonable to save money when they print money  invest and earn more  that is the secret to wealth
149,1.41E+18,17-06-2021 15:20,Arie61565986,trust this project  they have great potential and will be very successful in the future     shak
150,1.41E+18,17-06-2021 14:00,iswholdings,asus launches  series cards with feature limiting ether mining   coindesk
151,1.41E+18,17-06-2021 13:54,AarSyahriar,trust this project  they have great potential and will be very successful in the future  tr shak
152,1.41E+18,17-06-2021 13:12,RedzuanDie,future project to be millionaire  my address  xbfbacdaabddfe
153,1.41E+18,17-06-2021 13:05,RedzuanDie,future project to be millionaire  my address  xbfbacdaabddfemy bsc
154,1.41E+18,17-06-2021 09:50,cryptocoinboom,crypto news  after googling it  boss says is  bad idea  and probably illegal
155,1.41E+18,17-06-2021 08:41,Aga10316575,trust this project  they have great potential and will be very successful in the future recommended for you  shak
156,1.41E+18,17-06-2021 07:48,dcunha_dwayne,kudos to for covering the situation in south korea  lots of interesting stuff happening over there
157,1.41E+18,17-06-2021 07:30,CTrade_official,is in the news yet again  read on to learn more
158,1.41E+18,17-06-2021 06:00,TeguhDimasYudi1,trust this project  they have great potential and will be very successful in the future   fui  shak
159,1.41E+18,17-06-2021 05:21,nox_six2,trust this project  they have great potential and will be very successful in the future  ydr norex  shak
160,1.41E+18,17-06-2021 03:45,PejuangReeCehan,love this project so much  hope the project will thrive in the future  very potential project   syafirah  shak
161,1.41E+18,17-06-2021 03:33,lecuong2210,love this project so much  hope the project will thrive in the future  very potential project   shak
162,1.41E+18,17-06-2021 03:30,BtczMarket,join this magic project
163,1.41E+18,17-06-2021 03:16,Gambiste1,trust this project  they have great potential and will be very succ
164,1.41E+18,17-06-2021 02:32,HTran223,trust this project  they have great potential and will be very successful in the future   shak
165,1.41E+18,17-06-2021 02:28,sandeep52221,trust this project  they have great potential and will be very successful in the future  uyaluman shak
166,1.41E+18,17-06-2021 01:37,mehmetalanya07,trust this project  they have great potential and will be very successful in the future  shak
167,1.41E+18,17-06-2021 01:12,NikhilRaj8852,to the moon on  jai
168,1.41E+18,17-06-2021 00:04,TBeatnicks,here  thought if there is so much fear in the market about crash why don  you buy lil something of
169,1.41E+18,17-06-2021 00:03,SamlovesCrypto,here  thought if there is so much fear in the market about crash why don  you buy lil something of that sweet and hodl till your grandkids get old  you want market  make one  buy owning it
170,1.41E+18,16-06-2021 19:30,picmeriego,after el salvador  tanzania decides to accept crypto currency
171,1.41E+18,16-06-2021 17:58,galan_apuila,great project shakeswap airdrop live on get    shak  don  miss danta
172,1.41E+18,16-06-2021 17:28,ConsiliumCrypto,one of the world  largest asset managers  has launched sherlock  digital asset data and analytics platform for institutional investors
173,1.41E+18,16-06-2021 16:15,iswholdings,maxine waters forms crypto working group   coindesk
174,1.41E+18,16-06-2021 04:43,bnlish,yo  let  here some feel good stories from   tell me about how
175,1.40E+18,15-06-2021 18:07,SamlovesCrypto,yo  let  here some feel good stories from   tell me about how is changing the world  tell me about tell me about how is helping kids with cancer  don  bring down
176,1.40E+18,15-06-2021 14:30,vorder_,probably the only project that will for real go to outer space    satellite ticket price is still in the buy zone   ern
177,1.40E+18,15-06-2021 11:00,socialsupermgr,coindesk arrives on snapchat via
178,1.40E+18,15-06-2021 08:31,thenewshooked,elon musk juices bitcoin price yet again with his stupid tweets
179,1.40E+18,15-06-2021 05:51,7artistai,according to     there are more on than there are on   as from for ethereum layer    let that in   ai
180,1.40E+18,15-06-2021 02:56,altssignalz,daos  defi and dollars  the bold new world of decentralized entities
181,1.40E+18,15-06-2021 02:56,altssignalz,ethereum wallet mew enables eth   staking through your phone
182,1.40E+18,15-06-2021 02:48,adctrader,insurers initiate new cryptocurrency investment positions  report insurance firms have increased their interest in crypto investments in recent months
183,1.40E+18,15-06-2021 02:48,adctrader,defi projects continue flocking to layer solution polygon polygon  cheaper transaction costs and faster block time have driven increased adoption by number of ma
184,1.40E+18,15-06-2021 02:48,adctrader,human protocol expands hcaptcha tool  launches wallet to make ai smarter  proof of humanity  could also thwart front running defi bots
185,1.40E+18,15-06-2021 02:48,adctrader,market wrap  bitcoin sustains  musk jump  as crypto sentiment improves bitcoin tests   following positive comments from tesla  ceo elon musk and hedge fund manage
186,1.40E+18,15-06-2021 02:48,adctrader,bitcoin and ether price indicators support near term  relief rally  bitcoin  weekly stochastic oscillator has turned up from oversold or below   levels  positive
187,1.40E+18,15-06-2021 02:48,adctrader,bitcoin fund outflows slow but investors start exiting ether funds the amount of money leaving was significantly less than the previous  record week of   million
188,1.40E+18,15-06-2021 02:48,adctrader,goldman sachs plans to offer ether options  report in march  the investment bank relaunched its cryptocurrency trading desk after three year hiatus
189,1.40E+18,15-06-2021 02:48,adctrader,china  xiong an new area begins using digital yuan for salary payments the country is testing the currency in different pilots
190,1.40E+18,15-06-2021 02:48,adctrader,market wrap  bitcoin flat at   as investors tangle with bulls and bears positive news from el salvador couldn  completely overcome negative news out of china
191,1.40E+18,15-06-2021 02:48,adctrader,next gen game developer mythical raises   for playable nfts the funding round will offer external game developers way to bring nfts into their fictional worlds
192,1.40E+18,15-06-2021 02:48,adctrader,daos  defi and dollars  the bold new world of decentralized entities in this week  episode  we explore how developers and investors are working through the complex
193,1.40E+18,15-06-2021 02:48,adctrader,stake technologies raises   ahead of polkadot and kusama auctions with auctions to win place building on the polkadot blockchain ecosystem beginning soon  projec
194,1.40E+18,15-06-2021 02:48,adctrader,market wrap  bullish basel news causes btc jump to week high   level  eth slips bitcoin busted out quick   gain early thursday on positive news from that contin
195,1.40E+18,15-06-2021 02:48,adctrader,gold tokens take off as inflation accelerates  bitcoin retreats the market cap of gold backed tokens has surged  fold since the start of   according to one rese
196,1.40E+18,15-06-2021 02:48,adctrader,big carbon footprint compared to what  when blockchain systems reduce human involvement in transactions  the carbon benefits can be substantial  says our columnist
197,1.40E+18,15-06-2021 02:48,adctrader,arrington capital launches   algorand ecosystem fund the techcrunch founder  second crypto fund will bet on algorand projects and coins  but don  think the firm
198,1.40E+18,15-06-2021 02:48,adctrader,hut mining  shares to be listed on nasdaq hut will also retain its listing on the toronto stock exchange
199,1.40E+18,15-06-2021 02:48,adctrader,ethereum wallet mew enables eth   staking through your phone mew is one of several crypto wallet services actively helping onboard new users to the ethereum blockch
200,1.40E+18,15-06-2021 02:48,adctrader,dapper labs unveils flow native stablecoin  fusd  with other erc  like tokens to follow the maker of nba top shot is deploying new tools for developers to launch to
201,1.40E+18,15-06-2021 02:48,adctrader,bitcoin peeps above   on basel news the top cryptocurrency hit high of    during the european hours  extending wednesday  double digit rally
